
第二百七十四节 新来的药丸党

第二百七十五节 亮点

第二百七十六节 危险的信号

第二百七十七节 危险分子

第二百七十九节 评估

第二百八十一节 判决

第二百八十二节 采访

第二百八十三节 硝化淀粉

第二百八十四节 海上的虚荣心

第二百八十五节 宴会

第二百八十六节 女主人

第二百八十七节 争斗

第二百八十八节 挑衅

第二百八十九节 闺房

第二百九十节 马尼拉兵工厂

第二百九十一节 黑尔的大炮

第二百九十二节 侯爵

第二百九十三节 间谍

第二百九十四节 谁在帮助黑尔

第二百九十五节 供应链

第二百九十六节 合作者

第二百九十七节 试射

第二百九十八节 易货贸易

第二百九十九节 决斗的结果

第三百节 觐见总督

第三百零一节 总督的授权

第三百零二节 一路畅通

第三百零三节 新得生意经

三百零四节 厦门的生意

三百零五节 船上的书

三百零六节 金门岛上的买卖

三百零七节 搞活流通

三百零八节 林百户

三百零九节 身世

三百一十节 移民

三百一十一节 成功潜入

三百一十二节 乘车旅行记

三百一十三节 职业介绍

三百一十四节 山货行

三百一十五节 兄妹

三百一十六节 路灯

三百一十七节 夜市

三百一十八节 夜巡

三百一十九节 夜班

三百二十节 户籍警

三百二十一节 理想

三百二十二节 新工作

三百二十三节 夜间娱乐

三百二十四节 河源街

三百二十五节 夜花

三百二十六节 澳洲式享受

三百二十七节 与小姨子重逢

三百二十八节 寻找表姐夫

三百二十九节 改装

三百三十节 流莺

三百三十一节 鱼饵？

三百三十二节 刑务所

三百三十三节 城关镇

三百三十四节 工作谈话

三百三十五节 一边一半

三百三十六节 甄选

三百三十七节 唱歌跳舞

三百三十八节 艺术的开头

三百三十九节 百仞城夜话

三百四十节 人才

三百四十一节 榕树下

三百四十二节 电影院内

三百四十三节 军指定茶社

三百四十四节 上司

三百四十五节 锦衣卫的人马

三百四十六节 挖奸细

三百四十七节 刘富卿

三百四十八节 黄掌柜

三百四十九节 开店

三百五十节 各司其职

三百五十一节 执照

三百五十二节 真题

三百五十三节 “舞弊”

三百五十四节 窍门

三百五十五节 投资移民

三百五十六节 女警

三百五十七节 住店

三百五十八节 退路

三百五十九节 移民入籍宣讲会

三百六十节 政策法规

三百六十一节 广告册

三百六十二节 任务

三百六十三节 看脸

三百六十四节 练霓裳

三百六十五节 切磋（一）

三百六十六节 切磋（二）

三百六十七节 文化祭

三百六十八节 元老讲话

三百六十九节 额外的装备

三百七十节 民乐团

三百七十一节 聚会（一）

三百七十二节 聚会（二）

三百七十三节 （三）

三百七十四节 聚会（四）

三百七十五节 特别任务

三百七十六节 未成年元老林子琪

三百七十七节 初号班众生相

三百七十八节 家里的女仆

三百七十九节 父女之间

三百八十节 家务事

三百八十一节 小仓号上的女人们（一）

三百八十二节 小仓号上的女人们（二）

三百八十三节 起航

三百八十四节 航行

三百八十五节 初露端倪

三百八十六节 联系

三百八十七节 彩排

三百八十八节 约会

三百八十九节 白衣飘飘的长发元老

三百九十节 检举

三百九十一节 交汇

三百九十二节 捞出大鱼

三百九十三节 自己靠自己

第三百九十四节 行动计划

第三百九十五节 紧急通知

第三百九十六节 面授机宜

第三百九十七节 话别

第三百九十八节 旧制服

第三百九十九节 乔装改扮

第四百节 水上的Double Tap

第四百零一节 露陷

第四百零二节 消灭

第四百零三节 路上的乐队

第四百零四节 后备方案

第四百零五节 拼死一搏

第四百零六节 亡命

第四百零七节 少年

第四百零八节 追击

第四百零九节 一网打尽

第四百一十节 东窗事发

