
第一节 大世界军议

第二节 陆军的潜流

第三节 佛山

第四节 副镇长林铭

第五节 佛山炉房

第六节 佛山冶事

第七节 发动群众的问题

第八节 三水文塔

第九节 交通问题

第十节 与船行的合作

第十一节 羚羊峡口

第十二节 火攻船

第十三节 羚羊峡上

第十四节

第十五节 肇庆光复（一）

第十六节 肇庆光复（二）

第十七节 肇庆光复（三）

第十八节 肇庆光复（四）

第十九节 肇庆光复（五）

第二十节 肇庆的安排

第二十一节 朱鸣夏的作战决心

第二十二节

第二十三节 反常的现象

第二十四节 绝户计

第二十五节 兵临城下

第二十六节 信号

第二十七节 情报

第二十八节 底牌之一

第二十九节 奸细

第三十节 抛髡投明

第三十一节 新军

第三十二节 混合式方略

第三十三节 进攻

第三十四节 炮击

第三十五节 骚乱

第三十六节 挖壕

第三十七节 战斗部署

第三十八节 之字壕

第三十九节 突入阵地

第四十节 第一道壕沟

第四十一节 逃命

第四十二节 死里逃生

第四十三节 心潮澎湃

第四十四节 策反

第四十五节 自救

第四十六节 三件守城策

第四十七节 方寸大乱

第四十八节 出城

第四十九节 常青云

第五十节 又一次被俘

第五十一节 城里的情报

第五十二节 秘信

第五十三节 破城

第五十四节 攻占梧州

第五十五节 烂摊子

第五十六节 又成了俘虏

第五十七节 新官上任

第五十八节 解迩仁进城

第五十九节 翻墙入院

第六十节 藏身之处

第六十一节 当务之急

第六十二节 新的任务

第六十三节 出钱出力

第六十四节 善后筹款

第六十五节 百里侯

第六十五节 蝴蝶效应

第六十七节 走马观花

第六十八节 神道设教

第六十九节 行刺

第七十节 困难重重

第七十一节 另有念头

第七十二节 立功的心思

第七十三节 苟循礼的归来

第七十四节 重振旗鼓

第七十五节 增援

第七十六节 狂想

第七十七节 布防

第七十八节 骆阳明家的家务事

第七十九节 整训

第八十节 整训（二）

第八十一节 第一次任务

第八十二节 巡逻队

第八十三节 界首滩

第八十四节 袭扰

第八十五节 大队长朱四

第八十五节 救援徐岗

第八十七节 兵临徐岗

第八十八节 主动出击

第八十九节 三个指挥官

第九十节 有喜有悲

第九十一节 被动变主动

第九十二节

第九十三节 突击

第九十四节

第九十五节 百炼成钢

第九十六节 战后总结

第九十七节 首长到来

第九十八节 新的战斗

第九十九节 卫勤工作

第一百节 重返肇庆

第一百零一节 集结队伍

第一百零二节 治安策略

第一百零三节 方略和判断

第一百零四节 连州地区主任

第一百零五节 前往广宁

第一百零六节 杨举人的野望

第一百零七节 埋伏（一）

第一百零八节 埋伏（二）

第一百零九节 埋伏（三）

第一百一十节 埋伏（四）

第一百一十一节 埋伏（五）

第一百一十二节 石涧（一）

第一百一十三节 石涧（二）

第一百一十四节 石涧（三）

第一百一十五节 孤军奋战

第一百一十六节 孤军奋战（二）

第一百一十七节 意外的消息

第一百一十八节 收复广宁

第一百一十九节 怀集分兵

第一百二十节 收复连山

第一百二十一节 伏击

第一百二十二节 两个县令

第一百二十三节 阳山县开始的的第一步

第一百二十四节 永化绥靖

第一百二十五节 三江圩会师

第一百二十六节 李三九的算盘

第一百二十七节 谈条件

第一百二十八节 包围燕喜山

第一百二十九节 连州解围

第一百三十节 连州城下

第一百三十一节 光复连州

第一百三十h2>节 让新人表现

第一百三十三节 质子

第一百三十四节 平靖阳山（一）

第一百三十五节 平靖阳山（二）

第一百三十六节 中间人

第一百三十七节 讨价还价

第一百三十八节 新出炉的说客

第一百三十九节 封官许愿

第一百四十节 新鲜出炉的把总

第一百四十一节 兄弟情义

第一百四十一节 二桃杀三士

第一百四十二节 各怀鬼胎

第一百四十三节 各怀鬼胎（二）

第一百四十四节 补给车队

第一百四十五节 赌咒发誓

第一百四十六节 巧舌如簧

第一百四十七节 前路茫茫

第一百四十八节 巧舌如簧

第一百四十九节 驱虎吞狼

第一百五十节 紧锣密鼓

第一百五十一节 乌云汇聚

第一百五十二节 图穷匕见

第一百五十三节 两头开花

第一百五十三节 突围逃命

第一百五十五节 重伤号

第一百五十六节 血源

第一百五十七节 谁先谁后

第一百五十八节 止血带

第一百五十九节 谢大夫论医

第一百六十节 原则与从权

第一百六十一节 伤病员们

第一百六十二节 卧谈会

第一百六十三节 气话讲气话听

第一百六十四节 耐药性

第一百六十五节 代理县长

第一百六十六节 上任

第一百六十七节 鼓舞士气

